294,296,457,463
1,219,470,NULL
301,462,NULL,NULL
294,317,441,458
399,452,NULL,NULL
398,NULL,NULL,NULL
400,456,NULL,NULL
31,71,NULL,NULL
302,374,445,461
212,228,477,NULL
467,470,NULL,NULL
298,312,NULL,NULL
223,477,NULL,NULL
382,450,452,NULL
147,354,NULL,NULL
57,264,470,NULL
379,452,NULL,NULL
235,274,477,NULL
6,188,467,NULL
108,191,471,NULL
379,447,458,NULL
294,302,456,459
34,227,NULL,NULL
130,467,NULL,NULL
295,313,450,NULL
17,NULL,NULL,NULL
178,471,NULL,NULL
123,337,470,NULL
158,467,NULL,NULL
376,377,447,460
295,316,456,NULL
299,391,452,NULL
197,316,470,NULL
210,396,469,NULL
37,477,NULL,NULL
289,477,NULL,NULL
297,452,NULL,NULL
66,477,NULL,NULL
300,318,437,454
374,378,451,NULL
393,NULL,NULL,NULL
22,262,471,NULL
378,441,451,NULL
386,398,436,441
490,NULL,NULL,NULL
423,NULL,NULL,NULL
109,299,472,NULL
287,469,NULL,NULL
375,379,436,452
297,446,NULL,NULL
375,NULL,NULL,NULL
214,231,NULL,NULL
293,313,452,NULL
19,468,NULL,NULL
310,392,444,459
468,469,NULL,NULL
62,291,468,NULL
62,215,477,NULL
467,470,NULL,NULL
310,393,443,447
476,486,NULL,NULL
101,359,468,NULL
314,388,446,NULL
301,384,NULL,NULL
223,229,477,NULL
306,444,459,NULL
145,467,NULL,NULL
402,424,NULL,NULL
420,NULL,NULL,NULL
218,277,477,NULL
273,471,NULL,NULL
27,471,NULL,NULL
64,228,477,NULL
314,387,439,449
305,448,NULL,NULL
399,448,449,NULL
294,377,457,NULL
285,477,NULL,NULL
180,350,469,NULL
189,346,472,NULL
311,315,440,NULL
416,NULL,NULL,NULL
294,388,438,445
469,471,NULL,NULL
470,472,NULL,NULL
467,NULL,NULL,NULL
218,477,NULL,NULL
309,311,438,NULL
469,471,NULL,NULL
312,NULL,NULL,NULL
223,238,477,NULL
381,383,437,440
336,NULL,NULL,NULL
307,446,455,NULL
346,470,NULL,NULL
293,383,446,NULL
294,464,NULL,NULL
87,263,467,NULL
293,294,458,463
224,289,477,NULL
319,378,459,NULL
422,423,NULL,NULL
296,306,464,NULL
388,398,448,455
449,462,NULL,NULL
222,477,NULL,NULL
179,468,NULL,NULL
201,471,NULL,NULL
313,386,436,445
384,465,NULL,NULL
51,139,470,NULL
448,451,NULL,NULL
377,461,NULL,NULL
18,202,NULL,NULL
415,424,NULL,NULL
398,NULL,NULL,NULL
296,457,NULL,NULL
215,227,477,NULL
278,477,NULL,NULL
237,477,NULL,NULL
38,477,NULL,NULL
284,477,NULL,NULL
422,NULL,NULL,NULL
299,379,NULL,NULL
382,446,463,NULL
314,380,438,464
413,NULL,NULL,NULL
214,477,NULL,NULL
379,392,NULL,NULL
439,NULL,NULL,NULL
30,477,NULL,NULL
384,439,463,NULL
487,NULL,NULL,NULL
288,477,NULL,NULL
81,470,NULL,NULL
470,NULL,NULL,NULL
298,461,NULL,NULL
362,NULL,NULL,NULL
384,385,441,457
383,384,455,NULL
190,232,471,NULL
89,376,469,NULL
311,397,443,459
493,NULL,NULL,NULL
238,270,477,NULL
348,365,NULL,NULL
296,446,466,NULL
301,313,448,NULL
25,477,NULL,NULL
382,452,453,NULL
27,266,477,NULL
37,477,NULL,NULL
272,477,NULL,NULL
23,468,NULL,NULL
73,477,NULL,NULL
314,380,472,NULL
230,477,NULL,NULL
297,304,NULL,NULL
377,395,451,457
388,396,NULL,NULL
437,448,NULL,NULL
147,472,NULL,NULL
296,395,437,439
229,477,NULL,NULL
312,443,NULL,NULL
286,477,NULL,NULL
238,291,NULL,NULL
376,395,438,443
314,471,NULL,NULL
382,400,442,460
27,33,477,NULL
316,443,NULL,NULL
393,449,NULL,NULL
382,397,442,452
299,397,454,NULL
27,477,NULL,NULL
385,444,NULL,NULL
452,466,NULL,NULL
424,428,NULL,NULL
301,447,NULL,NULL
389,464,NULL,NULL
465,NULL,NULL,NULL
313,391,NULL,NULL
39,287,477,NULL
317,439,462,NULL
422,NULL,NULL,NULL
293,450,457,NULL
468,NULL,NULL,NULL
23,477,NULL,NULL
71,477,NULL,NULL
71,477,NULL,NULL
303,457,NULL,NULL
387,400,NULL,NULL
170,206,467,NULL
315,446,455,NULL
424,NULL,NULL,NULL
224,477,NULL,NULL
383,NULL,NULL,NULL
308,385,437,439
134,363,NULL,NULL
299,314,452,NULL
396,443,NULL,NULL
246,NULL,NULL,NULL
23,28,477,NULL
40,477,NULL,NULL
311,374,447,459
296,461,NULL,NULL
305,454,NULL,NULL
29,283,477,NULL
387,467,NULL,NULL
351,470,NULL,NULL
225,235,477,NULL
235,NULL,NULL,NULL
284,400,467,NULL
267,477,NULL,NULL
291,313,NULL,NULL
186,344,467,NULL
468,NULL,NULL,NULL
213,283,477,NULL
269,350,468,NULL
289,477,NULL,NULL
417,NULL,NULL,NULL
384,385,458,NULL
299,453,NULL,NULL
375,379,449,NULL
484,491,NULL,NULL
273,477,NULL,NULL
300,452,454,NULL
281,477,NULL,NULL
313,456,NULL,NULL
378,458,462,NULL
218,285,477,NULL
337,467,NULL,NULL
297,379,NULL,NULL
223,477,NULL,NULL
488,NULL,NULL,NULL
64,477,NULL,NULL
382,383,438,NULL
301,313,NULL,NULL
307,439,459,NULL
384,455,NULL,NULL
490,499,NULL,NULL
23,477,NULL,NULL
398,458,NULL,NULL
294,378,437,NULL
459,465,NULL,NULL
408,441,NULL,NULL
299,400,439,455
269,477,NULL,NULL
301,397,450,459
307,450,458,NULL
310,382,461,464
310,446,453,NULL
58,263,469,NULL
364,NULL,NULL,NULL
494,NULL,NULL,NULL
292,477,NULL,NULL
376,446,465,NULL
94,354,467,NULL
65,477,NULL,NULL
382,390,453,NULL
319,394,438,444
300,452,465,NULL
61,282,477,NULL
93,309,NULL,NULL
303,443,NULL,NULL
315,380,NULL,NULL
184,NULL,NULL,NULL
449,NULL,NULL,NULL
309,398,437,438
299,444,464,NULL
226,477,NULL,NULL
306,455,466,NULL
36,157,470,NULL
470,471,NULL,NULL
395,400,458,NULL
126,469,NULL,NULL
290,477,NULL,NULL
338,NULL,NULL,NULL
378,396,459,NULL
291,477,NULL,NULL
126,228,472,NULL
413,414,NULL,NULL
267,269,NULL,NULL
293,377,436,444
396,464,NULL,NULL
377,436,444,NULL
389,390,443,449
295,439,NULL,NULL
299,444,448,NULL
290,477,NULL,NULL
76,280,477,NULL
24,26,477,NULL
389,392,439,NULL
19,NULL,NULL,NULL
62,272,477,NULL
319,463,NULL,NULL
480,NULL,NULL,NULL
393,472,NULL,NULL
33,236,477,NULL
295,378,460,NULL
241,469,NULL,NULL
64,279,477,NULL
66,221,477,NULL
229,477,NULL,NULL
296,385,448,463
4,471,NULL,NULL
302,318,452,458
293,391,442,447
61,224,477,NULL
382,443,456,NULL
306,399,449,454
74,322,471,NULL
45,469,NULL,NULL
274,477,NULL,NULL
33,477,NULL,NULL
275,477,NULL,NULL
390,456,466,NULL
266,477,NULL,NULL
318,450,461,NULL
345,356,NULL,NULL
319,376,465,NULL
73,477,NULL,NULL
383,454,NULL,NULL
467,468,NULL,NULL
428,NULL,NULL,NULL
293,319,459,NULL
97,176,472,NULL
222,234,477,NULL
355,364,NULL,NULL
353,470,NULL,NULL
217,393,467,NULL
383,387,458,460
270,477,NULL,NULL
31,223,477,NULL
469,NULL,NULL,NULL
389,463,NULL,NULL
300,450,NULL,NULL
65,73,477,NULL
314,458,461,NULL
359,468,NULL,NULL
74,271,477,NULL
381,440,447,NULL
61,232,477,NULL
63,284,477,NULL
236,278,477,NULL
309,310,443,NULL
375,385,440,465
471,NULL,NULL,NULL
295,380,441,453
4,NULL,NULL,NULL
20,154,470,NULL
310,451,454,NULL
52,392,470,NULL
412,441,NULL,NULL
222,477,NULL,NULL
32,477,NULL,NULL
212,470,NULL,NULL
267,477,NULL,NULL
438,452,NULL,NULL
468,471,NULL,NULL
297,300,446,461
489,495,NULL,NULL
297,396,439,447
278,467,NULL,NULL
183,468,NULL,NULL
224,235,477,NULL
300,312,436,NULL
294,442,NULL,NULL
295,375,451,NULL
307,456,NULL,NULL
302,378,452,NULL
16,137,471,NULL
39,223,477,NULL
69,394,470,NULL
380,463,NULL,NULL
73,274,477,NULL
295,394,464,NULL
282,477,NULL,NULL
25,44,471,NULL
386,391,455,459
295,308,466,NULL
225,477,NULL,NULL
377,399,441,458
380,438,445,NULL
305,306,445,NULL
269,274,477,NULL
399,400,NULL,NULL
281,470,NULL,NULL
397,436,456,NULL
68,468,NULL,NULL
315,394,447,466
377,449,462,NULL
273,477,NULL,NULL
113,470,NULL,NULL
308,316,454,460
301,454,463,NULL
470,471,NULL,NULL
300,NULL,NULL,NULL
498,NULL,NULL,NULL
223,274,477,NULL
178,470,NULL,NULL
383,437,451,NULL
65,477,NULL,NULL
225,477,NULL,NULL
285,477,NULL,NULL
213,281,477,NULL
468,NULL,NULL,NULL
271,477,NULL,NULL
170,300,472,NULL
440,NULL,NULL,NULL
74,477,NULL,NULL
76,477,NULL,NULL
427,NULL,NULL,NULL
225,477,NULL,NULL
398,454,456,NULL
59,219,477,NULL
2,469,NULL,NULL
33,231,477,NULL
207,472,NULL,NULL
296,307,447,465
270,292,477,NULL
319,386,441,459
269,271,477,NULL
276,375,469,NULL
22,392,472,NULL
33,472,NULL,NULL
23,477,NULL,NULL
28,271,NULL,NULL
283,326,NULL,NULL
29,477,NULL,NULL
18,468,NULL,NULL
338,367,NULL,NULL
390,439,NULL,NULL
